,AppID,pp_category,DescribeCTX_Richness,DescribeCTX_Specificity,DescribeCTX_SemanticRelatedness,,AppBDS_Richness,AppBDS_Specificity,AppBDS_SemanticRelatedness,,DescribeCTX_GPT_Richness,DescribeCTX_GPT_Specificity,DescribeCTX_GPT_SemanticRelatedness
1,com.szs.cinema.uae,LOCATION,2,1,1,,7,6,8,,6,8,5
2,air.com.mconline.sg.picturedictionary,MICROPHONE,2,1,0,,8,8,8,,6,5,4
3,com.edelweiss.hijabkebayamuslimcamera,STORAGE,2,2,2,,8,8,7,,6,6,5
4,com.tomatomusic.newringtones,CONTACT,2,2,3,,8,9,9,,8,8,9
5,biz.fungolf.swinganalysis,CAMERA,2,2,2,,8,8,7,,8,8,7
6,com.si.junagadhtourism,LOCATION,2,2,2,,8,9,9,,7,6,7
7,com.trackyapps.street_lens,LOCATION,2,2,2,,8,8,7,,6,6,6
8,com.imagenes.luto,STORAGE,2,2,3,,8,8,7,,8,8,7
9,com.ventipix.assetManager,LOCATION,1,1,1,,7,8,7,,7,7,6
10,com.yellowpages.android.gas,LOCATION,2,2,3,,8,7,7,,7,7,6
11,com.zuidsoft.loopstation2,MICROPHONE,3,2,4,,8,9,10,,8,7,6
12,cz.pmqvyuka.anglictina.slovicka1,MICROPHONE,2,2,3,,8,8,9,,8,8,8
13,radonsoft.net.spectralview,MICROPHONE,2,2,2,,9,9,10,,8,8,8
14,com.gec.TerraApp.Terra,LOCATION,2,2,2,,8,9,9,,7,7,7
15,com.photolabs.instagrids,STORAGE,2,2,1,,9,9,10,,8,7,8
16,com.gtype.harirayaphotoframe,CAMERA,2,2,2,,9,9,10,,8,7,9
17,com.google.android.wearable.app,LOCATION,3,2,3,,8,7,8,,8,8,8
18,com.wildfire.wildfire,LOCATION,1,1,1,,8,7,8,,7,6,7
19,com.weddingcolors.devoscar.app,STORAGE,2,2,2,,9,9,8,,8,8,8
20,com.creativephotoeditors.homeexteriorphotoframe,CAMERA,2,2,2,,9,10,10,,9,9,7
21,com.scoompa.collagemaker.video,CAMERA,1,1,1,,8,7,8,,8,8,8
22,com.tanishka.jesus.photoframes,CAMERA,4,2,4,,9,9,9,,7,7,7
23,freeappshouse.capridresspantpentwomenfashion,CAMERA,3,2,4,,8,9,9,,8,8,10
24,co.speechnotes.speechnotes,STORAGE,1,2,2,,9,9,8,,7,7,5
25,arkeo.gunsounds,STORAGE,1,1,1,,8,8,5,,8,8,10
26,au.droidblitz.birthdaycards,CALENDAR,2,2,3,,9,9,9,,7,8,8
27,com.fieldbit,CAMERA,2,2,2,,9,9,10,,6,6,6
28,com.munwarapps.lovelycouplephotosuit,CAMERA,2,2,1,,8,9,9,,8,8,10
29,com.buggames.countryballs,STORAGE,4,3,3,,9,9,10,,8,9,10
30,com.ea.image.text,CAMERA,2,3,2,,7,7,6,,7,7,8
31,com.evergreen.zsilentCamera_plus,CAMERA,3,3,2,,9,9,10,,8,8,6
32,com.eurotalk.uTalk,STORAGE,3,3,3,,8,8,8,,8,8,8
33,com.next.womendayphotoframes,STORAGE,2,1,1,,9,9,9,,8,8,8
34,br.com.mobiltec.c4m.android.agent,LOCATION,3,3,2,,9,9,9,,8,9,8
35,com.agilx.banditrun,LOCATION,2,3,2,,9,9,8,,7,8,9
36,yong.tools.life.weather,LOCATION,1,1,1,,7,7,5,,6,7,4
37,com.pmqsoftware.game.en.only.one,MICROPHONE,3,3,3,,8,9,10,,8,8,8
38,com.tecogis.lead_retrieval,CAMERA,2,2,2,,9,9,7,,8,8,6
39,com.selfpoint.koshervillage,CAMERA,2,2,1,,8,8,6,,8,8,7
40,com.Protect_Utilities.AppLock_Security,CONTACT,2,2,1,,7,8,7,,6,7,7
41,com.sarihiari.pinnr,CONTACT,1,2,0,,8,8,8,,5,5,7
42,com.synchronoss.pcloud.android.syncdrive,CONTACT,3,3,2,,8,8,9,,7,7,8
43,com.topmobileringtones.gangsterringtonesfree,CONTACT,4,4,7,,9,9,10,,7,8,7
44,com.com2us.soccerspirits.normal2.freefull.google.global.android.common,CONTACT,3,3,3,,8,8,8,,7,7,8
45,com.servizing.society,SMS,2,2,1,,8,9,9,,8,8,7
46,com.smsBlocker,SMS,2,2,1,,9,9,10,,8,8,8
47,com.appazur.cclc,CALENDAR,2,2,2,,8,8,8,,8,8,7
48,au.gov.qld.tmr.traffic,CALENDAR,2,2,1,,7,8,8,,8,7,7
49,com.gogetcorp.roomdisplay.v6,CALENDAR,2,2,1,,8,8,7,,8,7,8
50,uk.co.piota.schools,CALENDAR,2,2,2,,8,8,7,,7,7,7
