AppID,pp_category,DescribeCTX_Richness,DescribeCTX_Specificity,DescribeCTX_SemanticRelatedness,,DescribeCTX_GPT_Richness,DescribeCTX_GPT_Specificity,DescribeCTX_GPT_SemanticRelatedness,,AppBDS_Richness,AppBDS_Specificity,AppBDS_SemanticRelatedness
com.szs.cinema.uae,LOCATION,3,3,3,,7,8,9,,10,9,9
air.com.mconline.sg.picturedictionary,MICROPHONE,2,3,3,,6,7,8,,7,8,8
com.edelweiss.hijabkebayamuslimcamera,STORAGE,3,4,5,,7,7,8,,8,8,9
com.tomatomusic.newringtones,CONTACT,3,4,5,,6,7,7,,7,8,8
biz.fungolf.swinganalysis,CAMERA,4,5,5,,7,8,9,,8,9,9
com.si.junagadhtourism,LOCATION,3,4,4,,7,8,8,,8,9,10
com.trackyapps.street_lens,LOCATION,3,4,5,,7,8,8,,8,10,9
com.imagenes.luto,STORAGE,4,4,5,,6,7,8,,8,8,9
com.ventipix.assetManager,LOCATION,4,4,5,,6,7,8,,8,9,9
com.yellowpages.android.gas,LOCATION,5,4,6,,7,8,9,,8,9,9
com.zuidsoft.loopstation2,MICROPHONE,5,5,5,,7,7,8,,8,8,9
cz.pmqvyuka.anglictina.slovicka1,MICROPHONE,3,4,5,,6,7,8,,8,9,9
radonsoft.net.spectralview,MICROPHONE,3,4,5,,7,7,8,,8,8,8
com.gec.TerraApp.Terra,LOCATION,3,4,5,,7,8,9,,10,9,9
com.photolabs.instagrids,STORAGE,2,3,4,,7,7,8,,8,8,8
com.gtype.harirayaphotoframe,CAMERA,3,3,4,,7,8,9,,8,9,9
com.google.android.wearable.app,LOCATION,4,4,5,,7,8,9,,8,8,9
com.wildfire.wildfire,LOCATION,3,3,4,,6,7,7,,10,8,9
com.weddingcolors.devoscar.app,STORAGE,4,4,5,,7,7,8,,8,9,9
com.creativephotoeditors.homeexteriorphotoframe,CAMERA,3,4,4,,6,6,7,,8,10,9
com.scoompa.collagemaker.video,CAMERA,3,2,3,,7,7,8,,8,8,8
com.tanishka.jesus.photoframes,CAMERA,4,4,5,,7,7,8,,8,8,9
freeappshouse.capridresspantpentwomenfashion,CAMERA,4,4,5,,6,7,7,,8,8,8
co.speechnotes.speechnotes,STORAGE,2,3,3,,7,7,7,,8,8,8
arkeo.gunsounds,STORAGE,3,4,4,,6,7,7,,8,8,9
au.droidblitz.birthdaycards,CALENDAR,4,4,4,,7,7,8,,8,9,9
com.fieldbit, CAMERA,3,4,5,,7,7,8,,8,9,10
com.munwarapps.lovelycouplephotosuit,CAMERA,3,4,5,,7,7,8,,8,9,9
com.buggames.countryballs,STORAGE,3,4,5,,6,7,8,,8,9,9
com.ea.image.text,CAMERA,3,5,5,,7,7,7,,8,8,9
com.evergreen.zsilentCamera_plus,CAMERA,3,3,4,,6,7,7,,8,8,9
com.eurotalk.uTalk,STORAGE,3,3,4,,6,7,8,,10,9,9
com.next.womendayphotoframes,STORAGE,3,3,4,,6,6,7,,10,9,8
br.com.mobiltec.c4m.android.agent,LOCATION,3,3,4,,6,7,8,,8,9,9
com.agilx.banditrun,LOCATION,3,4,4,,6,7,8,,8,8,9
yong.tools.life.weather,LOCATION,4,4,5,,7,7,8,,8,9,9
com.pmqsoftware.game.en.only.one,MICROPHONE,4,5,6,,7,8,8,,8,9,9
com.tecogis.lead_retrieval,CAMERA,3,3,4,,6,7,7,,8,8,8
com.selfpoint.koshervillage,CAMERA,4,4,5,,6,7,8,,8,8,9
com.Protect_Utilities.AppLock_Security,CONTACT,2,2,2,,7,7,7,,8,9,8
com.sarihiari.pinnr,CONTACT,2,3,4,,7,8,7,,8,9,8
com.synchronoss.pcloud.android.syncdrive,CONTACT,2,3,3,,7,7,8,,8,8,8
com.topmobileringtones.gangsterringtonesfree ,CONTACT,3,4,5,,7,7,8,,8,9,8
com.com2us.soccerspirits.normal2.freefull.google.global.android.common,CONTACT,2,3,4,,7,7,7,,8,9,9
com.servizing.society,SMS,3,2,3,,7,8,8,,8,8,9
com.smsBlocker,SMS,2,3,2,,6,7,7,,8,9,8
com.appazur.cclc,CALENDAR,3,4,4,,7,7,7,,8,9,8
au.gov.qld.tmr.traffic,CALENDAR,3,3,2,,6,7,8,,8,9,9
com.gogetcorp.roomdisplay.v6,CALENDAR,3,3,3,,7,7,8,,8,9,8
uk.co.piota.schools,CALENDAR,2,3,3,,7,7,8,,8,8,8
