appId,decision_self
air.CreativeTech.PhotoColoringEditor,NO
air.com.mconline.sg.picturedictionary,NO
allies.phoenix.tattoo.designs,YES
and.netgps,YES
app.compiler,YES
app.georadius.gpsplatform,NO
app.tools.soundmeter.decibel.noisedetector,YES
appinventor.ai_CorwinRMXP.Naheulbeuk,NO
arkeo.gunsounds,NO
au.droidblitz.birthdaycards,NO
au.edu.sa.cbhs.schoolapp,NO
au.gov.qld.tmr.traffic,NO
axiom.malayalam.troll,NO
batman.android.addressbook,YES
be.appsolution.sportmagnl.tablet,NOT_SURE
biz.fungolf.swinganalysis,YES
bokf.ib.android.market.bok,NO
br.com.mobiltec.c4m.android.agent,NO
br.com.rodrigokolb.electropads,NO
br.com.rodrigokolb.realbass,NO
ca.bell.selfserve.mybellmobile,NOT_SURE
ca.skipthedishes.dashboard,NO
cc.mannam.audio4bible.nkjv.peter21,YES
cctv.bohlamp.app,NO
co.bonx.go,NO
co.infinum.ptvtruck,YES
co.mwater.clientapp,NO
co.speechnotes.speechnotes,YES
com.ARHeadBallBouncing.tzabars,NOT_SURE
com.Adzectstudios.Greenhill.photo.editor,YES
com.ChristianResources,NO
com.DaglocApps.WomanBlazer.PhotoMontage,NO
com.Protect_Utilities.AppLock_Security,YES
com.abclocal.wpvi.news,NO
com.accessunited,NO
com.adorecommu,NOT_SURE
com.adriadevs.screenlock.ios.keypad.timepassword,YES
com.afmobi.boomplayer,YES
com.agilx.banditrun,NO
com.alarm.alarmmobile.android.moni,NO
com.allsuitanarkalidress.photosuit,NO
com.almoshaf.alsharefLite,NO
com.alpha.delta.tifnit4,NO
com.androidwasabi.livewallpaper.snowfall,YES
com.androidwasabi.wallpaper.dandelion,YES
com.anonymoose.bigtalker.bigtalker,YES
com.antiapps.polishRack2,YES
com.app.safepettreats,NO
com.appazur.cclc,NOT_SURE
com.applixgroup.demoar,NO
com.appsbyusman.stealthaudioplayer,NO
com.appstory.extractor,NO
com.apptree.ducasse.live,NO
com.archaicsoftware.yotricks,NO
com.atsdev.policesuitcamera,NO
com.autocab.taxibooker.taxisdealmada.almada,NO
com.axion.flashblinkcallandsms,YES
com.bestfishinggames.fishing3d,NO
com.bicycletransit.MetroBikeShare,NO
com.bitmango.go.fruitsmania2match3,NO
com.blognawa.hottools,YES
com.bluepearl.VitalImagingCentre,NO
com.bolshakovdenis.soundanalyzer,NO
com.bookt.llc.threebbm,NO
com.briox.riversip.android.uk.irish,NOT_SURE
com.buggames.countryballs,NO
com.buildfortheweb.tasks,YES
com.cardiovisual.app,NO
com.carrier.caservicetech,NO
com.centurymaxstudios,NO
com.choicehotels.android,NO
com.churchlinkapp.c22471,NOT_SURE
com.churchlinkapp,YES
com.cisco.jabber.guest,NO
com.coastguard,NO
com.com2us.soccerspirits.normal2.freefull.google.global.android.common,NO
com.com2us.tinyfarm.normal3.freefull.google.global.android.common,NO
com.corrigo.intuit,NO
com.cosmobile.jetcontacts,NO
com.cpe.birthdayphotostickers,NO
